,0
0,Arkansas
1,Colorado
2,Idaho
3,Illinois
4,Iowa
5,Kansas
6,Kentucky
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Michigan
12,Minnesota
13,Mississippi
14,Missouri
15,Montana
16,Nebraska
17,Nevada
18,New Hampshire
19,New Jersey
20,New Mexico
21,New York
22,North Carolina
23,North Dakota
24,Oklahoma
25,Oregon
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Texas
32,Utah
33,Vermont
34,Virginia
35,West Virginia
36,Wisconsin
37,Wyoming
